"구분1","평일","토요일","일요일","",""
"서울","1149","1161","1163","",""
"부산","1223","1238","1253","",""
"대구","1069","1082","1094","",""
"인천","1186","1217","1235","",""
"광주","1080","1087","1097","",""
"대전","1083","1101","1108","",""
"울산","1167","1235","1300","",""
"세종","1168","1155","1167","",""
"경기","1260","1289","1298","",""
"강원","1172","1226","1235","",""
"충북","1188","1230","1240","",""
"충남","1303","1359","1364","",""
"전북","1189","1230","1237","",""
"전남","1168","1202","1218","",""
"경북","1120","1156","1176","",""
"경남","1092","1119","1130","",""
"제주","1364","1471","1523","",""
