행정구역별,2015,2016,2017,2018,2019
행정구역별,상용 월평균 임금 (원),상용 월평균 임금 (원),상용 월평균 임금 (원),상용 월평균 임금 (원),상용 월평균 임금 (원)
전국,2926186,3030286,3125273,3259281,3405769
서울특별시,3261561,3364470,3445867,3563940,3704202
부산광역시,2620611,2694140,2786616,2962069,3050186
대구광역시,2415995,2472297,2634209,2766527,2908433
인천광역시,2723424,2839944,2913439,3013149,3121843
광주광역시,2562254,2630845,2731776,2803147,2942622
대전광역시,2857131,2985356,3071837,3189820,3287005
울산광역시,3084932,3122883,3169771,3279013,3377777
제주특별자치도,2293505,2389239,2456978,2584690,2710704
